Typical Measured Spectrum of Semrock FF01-500/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
458.6	6.0879e-08
458.8	8.7498e-08
459.0	1.5591e-07
459.2	2.313e-07
459.4	1.4464e-07
459.6	9.0441e-08
459.8	7.014e-08
460.0	6.1082e-08
460.2	7.0949e-08
460.4	1.0431e-07
460.6	1.5041e-07
460.8	1.0169e-07
461.0	6.8751e-08
461.2	4.3515e-08
461.4	2.5784e-08
461.6	2.6462e-08
461.8	6.2989e-08
462.0	1.4994e-07
462.2	1.7941e-07
462.4	1.9371e-07
462.6	1.3728e-07
462.8	4.3745e-08
463.0	2.1935e-08
463.2	4.4471e-08
463.4	9.0162e-08
463.6	1.3364e-07
463.8	1.7538e-07
464.0	2.0753e-07
464.2	1.602e-07
464.4	1.2598e-07
464.6	1.1818e-07
464.8	1.1085e-07
465.0	7.1798e-08
465.2	3.5166e-08
465.4	1.8541e-08
465.6	3.9663e-08
465.8	8.4848e-08
466.0	8.851e-08
466.2	8.8193e-08
466.4	6.7429e-08
466.6	3.5492e-08
466.8	1.8681e-08
467.0	5.0121e-08
467.2	1.6279e-07
467.4	9.5385e-08
467.6	3.5451e-08
467.8	2.2225e-08
468.0	5.7272e-08
468.2	1.4758e-07
468.4	1.1841e-07
468.6	6.3721e-08
468.8	6.5255e-08
469.0	9.5967e-08
469.2	1.3471e-07
469.4	1.3433e-07
469.6	1.3396e-07
469.8	1.2867e-07
470.0	1.2048e-07
470.2	1.0366e-07
470.4	8.2746e-08
470.6	6.6123e-08
470.8	5.8809e-08
471.0	5.2303e-08
471.2	5.5463e-08
471.4	7.089e-08
471.6	8.8211e-08
471.8	1.0585e-07
472.0	1.2702e-07
472.2	1.3454e-07
472.4	1.4054e-07
472.6	1.1777e-07
472.8	6.8885e-08
473.0	4.7779e-08
473.2	4.7608e-08
473.4	4.7437e-08
473.6	4.7255e-08
473.8	4.7071e-08
474.0	5.4153e-08
474.2	9.1969e-08
474.4	1.2389e-07
474.6	6.7965e-08
474.8	3.7284e-08
475.0	2.5512e-08
475.2	1.9324e-08
475.4	1.8631e-08
475.6	6.3772e-08
475.8	1.5823e-07
476.0	5.8895e-08
476.2	2.1921e-08
476.4	1.5026e-08
476.6	1.4974e-08
476.8	1.4924e-08
477.0	1.4882e-08
477.2	1.517e-08
477.4	2.6158e-08
477.6	4.5106e-08
477.8	6.5739e-08
478.0	8.1775e-08
478.2	1.0172e-07
478.4	1.3161e-07
478.6	1.7032e-07
478.8	1.4155e-07
479.0	1.1379e-07
479.2	1.0584e-07
479.4	1.2144e-07
479.6	1.3935e-07
479.8	1.5802e-07
480.0	1.7891e-07
480.2	1.5565e-07
480.4	1.278e-07
480.6	1.0238e-07
480.8	7.7435e-08
481.0	5.8569e-08
481.2	7.8133e-08
481.4	1.2232e-07
481.6	1.0388e-07
481.8	7.1953e-08
482.0	5.8142e-08
482.2	7.9893e-08
482.4	1.0978e-07
482.6	1.1556e-07
482.8	1.0882e-07
483.0	1.0613e-07
483.2	1.0561e-07
483.4	9.5597e-08
483.6	4.1729e-08
483.8	1.8215e-08
484.0	2.274e-08
484.2	5.8045e-08
484.4	9.2919e-08
484.6	9.752e-08
484.8	1.0218e-07
485.0	7.7326e-08
485.2	5.8516e-08
485.4	4.728e-08
485.6	4.1012e-08
485.8	4.4153e-08
486.0	6.487e-08
486.2	9.5307e-08
486.4	1.0717e-07
486.6	1.1659e-07
486.8	1.1788e-07
487.0	1.052e-07
487.2	1.0307e-07
487.4	1.2052e-07
487.6	1.4093e-07
487.8	1.2638e-07
488.0	1.0713e-07
488.2	9.8593e-08
488.4	1.0944e-07
